Date,Rolling variance
2018-02-01,
2018-02-02,
2018-02-03,
2018-02-04,
2018-02-05,
2018-02-06,
2018-02-07,
2018-02-08,
2018-02-09,
2018-02-10,
2018-02-11,
2018-02-12,
2018-02-13,
2018-02-14,
2018-02-15,
2018-02-16,
2018-02-17,
2018-02-18,
2018-02-19,
2018-02-20,
2018-02-21,
2018-02-22,
2018-02-23,
2018-02-24,
2018-02-25,
2018-02-26,
2018-02-27,
2018-02-28,
2018-03-01,
2018-03-02,1460317.559741889
2018-03-03,1574892.552702282
2018-03-04,1662664.4137159465
2018-03-05,1760637.3197827332
2018-03-06,1702808.3196238393
2018-03-07,1392447.9662134927
2018-03-08,1227398.669512858
2018-03-09,1036905.1240236713
2018-03-10,972240.7567979243
2018-03-11,914562.8856195199
2018-03-12,863813.8609008936
2018-03-13,750695.0170207032
2018-03-14,823677.536155758
2018-03-15,859453.7757307296
2018-03-16,959362.7680401774
2018-03-17,1125511.7674203068
2018-03-18,1238197.8966361473
2018-03-19,1254470.593284326
2018-03-20,1273162.4410237197
2018-03-21,1234399.9263484066
2018-03-22,1176016.228493641
2018-03-23,1162262.1339863406
2018-03-24,1188617.2859942138
2018-03-25,1209982.5639676964
2018-03-26,1265501.6353473258
2018-03-27,1354822.9783913516
2018-03-28,1392195.3537050749
2018-03-29,1475681.732208046
2018-03-30,1602359.6375496318
2018-03-31,1624551.7118280523
2018-04-01,1607248.817863381
2018-04-02,1447812.443882741
2018-04-03,1206281.6985878842
2018-04-04,965804.9769483196
2018-04-05,838336.0378322491
2018-04-06,817065.8929916475
2018-04-07,809934.5573938128
2018-04-08,786143.0684672322
2018-04-09,806315.6270557423
2018-04-10,743986.0584684317
2018-04-11,698877.1483941224
2018-04-12,626232.9401671886
2018-04-13,616548.6121271774
2018-04-17,605353.3283993581
2018-04-18,598524.4157086223
2018-04-19,609388.8356697728
2018-04-20,644996.7369533253
2018-04-21,664061.858508406
2018-04-22,655366.754168594
2018-04-23,655500.2042004534
2018-04-24,754168.4301053825
2018-04-25,751573.6449452068
2018-04-26,802886.8253023244
2018-04-27,835452.51503129
2018-04-28,911774.1125842397
2018-04-29,996352.9360313517
2018-04-30,1058157.7658811691
2018-05-01,1083440.1755529044
2018-05-02,1089408.6046660044
2018-05-03,1136621.0805389108
2018-05-04,1149845.912741566
2018-05-05,1182710.0368531207
2018-05-06,1208997.0239654453
2018-05-07,1148658.1000506482
2018-05-08,1061758.8500408432
2018-05-09,941676.8654764115
2018-05-10,834129.2728467253
2018-05-11,732881.9601947528
2018-05-12,591449.3797261214
2018-05-13,447946.8407501907
2018-05-14,315443.4792760686
2018-05-15,281984.7593057361
2018-05-16,253719.12268647293
2018-05-17,240302.69859820252
2018-05-18,235425.99127904428
2018-05-19,237846.8556945299
2018-05-20,245408.58649046713
2018-05-21,256532.81819516717
2018-05-22,285543.2255442348
2018-05-23,351374.4296443367
2018-05-24,386166.9055848482
2018-05-25,448384.34914851864
2018-05-26,508147.7989965248
2018-05-27,567542.5990418985
2018-05-28,629118.3098009654
2018-05-29,646654.5573150737
2018-05-30,670677.0896187106
2018-05-31,687398.5388061104
2018-06-01,688778.0058610094
2018-06-02,637149.3781701504
2018-06-03,576876.4956370876
2018-06-04,497813.016531404
2018-06-05,425352.6285935638
2018-06-06,371835.2755240401
2018-06-07,323629.8942660944
2018-06-08,262438.4292782128
2018-06-09,221949.70661848187
2018-06-10,248565.0668338682
2018-06-11,258124.89813869775
2018-06-12,269523.2532513993
2018-06-13,289411.4708900709
2018-06-14,288435.33936062094
2018-06-15,302941.01818357414
2018-06-16,318153.688815899
2018-06-17,322386.6966259674
2018-06-18,308280.9250886708
2018-06-19,267391.55225761625
2018-06-20,227440.3761121714
2018-06-21,210254.165372182
2018-06-22,243664.6205903918
2018-06-23,265888.90703330375
2018-06-24,286516.406903403
2018-06-25,302757.2368842555
2018-06-26,324265.06346784724
2018-06-27,343944.428491169
2018-06-28,366409.41843948077
2018-06-29,369461.1302426759
2018-06-30,359130.2442670041
2018-07-01,344036.2890208326
2018-07-02,316282.69501858193
2018-07-03,281459.03824156045
2018-07-04,256777.8782705662
2018-07-05,222302.16842159096
2018-07-06,184245.32193350737
2018-07-07,144783.617114505
2018-07-08,106259.52361707969
